Varco,Data,Passaggi_24h
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/18/2015,10248
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/19/2015,10629
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/20/2015,10678
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/21/2015,7823
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/22/2015,5877
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/23/2015,9973
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/24/2015,10147
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/25/2015,10392
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/26/2015,10470
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/27/2015,11310
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/28/2015,7991
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/29/2015,5958
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,11/30/2015,10076
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/01/2015,10515
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/02/2015,10025
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/03/2015,10341
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/04/2015,10764
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/05/2015,7332
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/06/2015,5412
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/07/2015,7175
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/08/2015,5456
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/09/2015,10415
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/10/2015,10445
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/11/2015,11017
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/12/2015,8254
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/13/2015,6015
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/14/2015,10514
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/15/2015,10818
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/16/2015,11136
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/17/2015,11565
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/18/2015,11709
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/19/2015,8714
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/20/2015,6830
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/21/2015,11279
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/22/2015,11260
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/23/2015,11249
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/24/2015,8063
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/25/2015,4111
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/26/2015,3761
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/27/2015,4990
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/28/2015,6965
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/29/2015,7575
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/30/2015,7660
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,12/31/2015,6236
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/01/2016,2820
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/02/2016,5024
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/03/2016,4716
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/04/2016,7497
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/05/2016,8091
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/06/2016,4984
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/07/2016,9197
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/08/2016,9789
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/09/2016,7144
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/10/2016,5367
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/11/2016,9825
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/12/2016,9954
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/13/2016,9908
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/14/2016,10344
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/15/2016,10660
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/16/2016,7667
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/17/2016,5606
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/18/2016,10127
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/19/2016,10163
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/20/2016,10208
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/21/2016,10260
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/22/2016,10659
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/23/2016,7602
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/24/2016,5650
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/25/2016,9923
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/26/2016,9989
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/27/2016,10058
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/28/2016,10417
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/29/2016,10563
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/30/2016,7478
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,01/31/2016,5567
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/01/2016,9785
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/02/2016,10026
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/03/2016,10090
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/04/2016,10335
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/05/2016,10809
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/06/2016,7617
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/07/2016,5152
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/08/2016,9871
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/09/2016,10172
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/10/2016,10639
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/11/2016,10365
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/12/2016,10387
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/13/2016,7165
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/14/2016,5493
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/15/2016,10019
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/16/2016,10005
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/17/2016,10332
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/18/2016,10449
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/19/2016,10618
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/20/2016,7534
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/21/2016,5833
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/22/2016,10122
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/23/2016,10314
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/24/2016,10367
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/25/2016,10546
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/26/2016,10768
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/27/2016,7580
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/28/2016,5374
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,02/29/2016,10103
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/01/2016,10174
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/02/2016,10416
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/03/2016,10423
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/04/2016,11157
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/05/2016,7484
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/06/2016,5755
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/07/2016,10207
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/08/2016,10441
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/09/2016,10475
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,03/10/2016,10557
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/01/2015,10951
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/02/2015,11508
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/03/2015,8376
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/04/2015,6158
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/05/2015,10618
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/06/2015,10787
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/07/2015,10831
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/08/2015,10998
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/09/2015,11401
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/10/2015,8298
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/11/2015,6193
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/12/2015,10534
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/13/2015,10663
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/14/2015,10813
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/15/2015,11041
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/16/2015,11461
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/17/2015,8376
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/18/2015,6129
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/19/2015,10500
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/20/2015,10774
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/21/2015,10750
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/22/2015,10971
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/23/2015,11515
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/24/2015,8464
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/25/2015,6334
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/26/2015,8826
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/27/2015,10621
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/28/2015,10822
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/29/2015,11002
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/30/2015,11405
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,10/31/2015,8239
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/01/2015,6209
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/02/2015,10416
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/03/2015,10883
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/04/2015,10848
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/05/2015,10976
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/06/2015,11828
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/07/2015,8592
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/08/2015,6271
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/09/2015,10359
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/10/2015,10853
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/11/2015,10807
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/12/2015,11145
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/13/2015,10254
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/14/2015,8197
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/15/2015,6272
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/16/2015,10462
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/17/2015,10871
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/18/2015,10849
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/19/2015,11069
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/20/2015,11309
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/21/2015,8438
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/22/2015,6334
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/23/2015,10469
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/24/2015,10795
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/25/2015,10978
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/26/2015,11180
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/27/2015,11942
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/28/2015,8650
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/29/2015,6550
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,11/30/2015,10368
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/01/2015,11067
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/02/2015,10017
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/03/2015,9251
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/04/2015,11143
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/05/2015,8128
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/06/2015,5653
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/07/2015,7842
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/08/2015,5512
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/09/2015,10908
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/10/2015,9821
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/11/2015,11582
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/12/2015,8891
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/13/2015,6616
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/14/2015,11160
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/15/2015,11502
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/16/2015,11878
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/17/2015,12058
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/18/2015,12335
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/19/2015,9596
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/20/2015,7619
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/21/2015,11964
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/22/2015,12141
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/23/2015,12158
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/24/2015,8798
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/25/2015,4150
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/26/2015,3703
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/27/2015,4614
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/28/2015,6684
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/29/2015,7846
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/30/2015,8178
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,12/31/2015,6572
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/01/2016,2818
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/02/2016,5432
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/03/2016,5231
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/04/2016,7990
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/05/2016,8540
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/06/2016,5204
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/07/2016,9769
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/08/2016,10246
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/09/2016,7485
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/10/2016,5683
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/11/2016,10245
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/12/2016,10517
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/13/2016,10622
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/14/2016,10991
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/15/2016,11140
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/16/2016,8078
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/17/2016,6028
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/18/2016,10394
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/19/2016,10804
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/20/2016,10707
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/21/2016,10745
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/22/2016,11207
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/23/2016,8149
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/24/2016,6095
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/25/2016,10345
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/26/2016,10383
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/27/2016,10545
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/28/2016,11002
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/29/2016,11444
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/30/2016,7923
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,01/31/2016,5885
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/01/2016,10510
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/02/2016,10441
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/03/2016,10425
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/04/2016,10825
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/05/2016,11295
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/06/2016,7955
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/07/2016,5420
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/08/2016,10260
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/09/2016,10455
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/10/2016,11014
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/11/2016,11027
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/12/2016,11057
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/13/2016,7632
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/14/2016,5408
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/15/2016,10459
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/16/2016,10382
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/17/2016,10672
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/18/2016,10876
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/19/2016,11365
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/20/2016,7945
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/21/2016,6123
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/22/2016,10471
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/23/2016,10750
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/24/2016,10786
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/25/2016,10933
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/26/2016,11312
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/27/2016,7674
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/28/2016,5673
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,02/29/2016,10408
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/01/2016,10518
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/02/2016,10868
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/03/2016,10893
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/04/2016,11539
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/05/2016,7757
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/06/2016,6137
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/07/2016,10497
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/08/2016,10886
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/09/2016,10978
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,03/10/2016,11058
S.P. 14 Rivoltana al Km 6+965 Dir. Milano,02/10/2016,16315
S.P. 14 Rivoltana al Km 6+965 Dir. Milano,02/11/2016,17550
S.P. 14 Rivoltana al Km 6+965 Dir. Milano,02/12/2016,17165
S.P. 14 Rivoltana al Km 6+965 Dir. Milano,02/13/2016,10468
S.P. 14 Rivoltana al Km 6+965 Dir. Milano,02/14/2016,9050
