"dataInizio","dataFine","sindacato","settore","categoria","modalita","rilevanza","dataProclamazione","dataRicezione","nome_regione","nome_provincia","note"
"2014-01-29","2014-01-29","APM ASS. PILOTI MERIDIANA FLY","Aereo","PERSONALE NAVIGANTE TECNICO SOC. MERIDIANA FLY","4 ORE: DALLE 10.00 ALLE 14.00","Nazionale","2014-01-08","2014-01-08 07:07:00"," Italia","Tutte",""
"2014-01-29","2014-01-29","FILT-CGIL/FIT-CISL/UGL","Aereo","PERSONALE DI TERRA E DI VOLO GRUPPO MERIDIANA","24 ORE","Nazionale","2013-12-10","2013-12-10 17:38:00"," Italia","Tutte",""
"2014-01-29","2014-01-29","USB LAVORO PRIVATO","Aereo","PERSONALE NAVIGANTE SOC. MERIDIANA FLY","24 ORE: DALLE 00.00 ALLE 23.59","Nazionale","2013-12-23","2013-12-23 09:45:00"," Italia","Tutte",""
"2014-01-30","2014-01-30","FILT-CGIL/FIT-CISL/UILT-UIL","Aereo","PERSONALE SOC. ENAV","15 MIN.: DALLE 15.00 ALLE 15.15","Nazionale","2014-01-03","2014-01-07 10:46:00"," Italia","Tutte","IN ADESIONE ALL'ACTION DAY INDETTO DA SINDACATO EUROPEO ETF"
"2014-02-03","2014-02-04","OSR FILT-CGIL/UILT-UIL/UGL-AF/SALPAS-ORSA","Appalti ferroviari","PERSONALE APPALTI FS SOC. COMPASS GROUP LOTTI 12 E 22 REG. PIEMONTE","ULTIME 4 ORE PER OGNI TURNO","Regionale","2014-01-14","2014-01-14 12:13:00","Piemonte","Tutte",""
"2014-02-03","2014-02-04","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/SALPAS-ORSA","Appalti ferroviari","PERSONALE APPALTI FS SOC. COMPASS GROUP REG. LIGURIA","INTERO TURNO: DALLE 22.00 DEL 3/2 ALLE 22.00 DEL 4/2","Regionale","2014-01-21","2014-01-21 11:02:00","Liguria","Tutte",""
"2014-02-05","2014-02-05","OSR FILT-CGIL/FIT-CISL/UGL/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. TOSCANA","8 ORE CON MODALITA' TERRITORIALI","Regionale","2014-01-10","2014-01-11 05:58:00","Toscana","Tutte",""
"2014-02-05","2014-02-05","ORSA AUTOFERRO TPL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2014-01-19","2014-01-19 10:26:00"," Italia","Tutte",""
"2014-02-05","2014-02-05","COORD. PROV. USB LAVORO PRIVATO","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. EMILIA ROMAGNA","4 ORE CON MODALITA' TERRITORIALI","Regionale","2014-01-25","2014-01-25 00:40:00","Emilia-Romagna","Tutte",""
"2014-02-05","2014-02-05","FILT-CGIL/FIT-CISL/UILT-UIL/UGL-FNA/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2013-12-18","2013-12-18 18:18:00"," Italia","Tutte",""
"2014-02-09","2014-02-09","OSR ORSA FERROVIE","Ferroviario","PERSONALE DI ACCOMPAGNAMENTO SOC. TRENITALIA DIV. PASSEGGERI REGIONALE VENETO","2 ORE: DALLE 12.00 ALLE 14.00","Regionale","2014-02-04","2014-02-04 15:42:00","Veneto","Tutte",""
"2014-02-09","2014-02-09","OSR FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DI VENDITA E ASSISTENZA DIV. PASSEGGERI N/I REG. LIGURIA","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2014-01-29","2014-01-29 14:31:00","Liguria","Tutte",""
"2014-02-10","2014-02-10","OSL  FIT-CISL/UGL/ANPCAT/LICTA/CILA-AV","Aereo","PERSONALE ENAV CAAV DI PALERMO","8 ORE: DALLE 10.00 ALLE 18.00","Interregionale","2013-12-16","2013-12-16 23:58:00"," Italia","Tutte",""
"2014-02-10","2014-02-10","CUB CONF. UNITARIA DI BASE","Aereo","SCIOPERO GENERALE LAVORATORI COMPARTO AEREO, AEROPORTUALE ED INDOTTO DEGLI AEROPORTI","24 ORE: DALLE 00.01 ALLE 23.59","Nazionale","2014-01-29","2014-01-29 17:23:00"," Italia","Tutte","ADESIONI OO.SS. CUB TRASPORTI E FLAICA UNITI CUB"
"2014-02-10","2014-02-10","AVIA","Aereo","PERSONALE NAVIGANTE DI CABINA SOC. EASYJET","24 ORE: DALLE 00.01 ALLE 24.00","Nazionale","2014-01-28","2014-01-28 11:29:00"," Italia","Tutte",""
"2014-02-10","2014-02-10","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Appalti ferroviari","PERSONALE APPALTI FS SOC. IPRAMS DEGLI IMPIANTI DELLA REG. UMBRIA","8 ORE: DALLE 6.00 ALLE 13.59","Regionale","2014-01-27","2014-01-27 13:03:00","Umbria","Tutte",""
"2014-02-10","2014-02-10","FILT-CGIL","Aereo","PERSONALE NAVIGANTE DI CABINA SOC. AIR DOLOMITI","4 ORE: DALLE 10.00 ALLE 14.00","Nazionale","2013-12-10","2013-12-10 15:11:00"," Italia","Tutte",""
"2014-02-10","2014-02-10","OSR FILT-CGIL/FIT-CISL/UILT-UIL/FAST/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DIV. CARGO AREA TRIESTE","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2014-01-17","2014-01-30 17:39:00","Friuli-Venezia Giulia","Tutte",""
"2014-02-13","2014-02-14","OSR FEDERMAR-CISAL","Marittimo","PERSONALE SOC. SIREMAR - COMPAGNIA DELLE ISOLE REG. SICILIA","24 ORE CON VARIE MODALITA'","Regionale","2014-01-27","2014-01-27 16:32:00","Sicilia","Tutte",""
"2014-02-13","2014-02-13","OSR FILT-CGIL/FIT-CISL/USLAC-UNCDIM-SMACD","Marittimo","PERSONALE SOC. SIREMAR - COMPAGNIA DELLE ISOLE REG. SICILIA","24 ORE","Regionale","2014-01-27","2014-01-27 09:33:00","Sicilia","Tutte",""
"2014-02-14","2014-02-14","OSR FILT-CGIL/FIT-CISL/UILT-UIL/FAST/UGL/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DI VERIFICA, MANOVRA E UMRP PASSEGGERI DI NAPOLI","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2014-01-17","2014-01-17 11:06:00","Campania","Tutte",""
"2014-02-17","2014-02-17","USB LAVORO PRIVATO","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE DELLA REG. UMBRIA","4 ORE: DALLE 16.30 ALLE 20.30","Regionale","2014-02-07","2014-02-07 12:11:00","Umbria","Tutte",""
"2014-02-17","2014-02-17","OSR FILT-CGIL/FIT-CISL/UGL FNA/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. TOSCANA","24 ORE CON MODALITA' TERRITORIALI","Regionale","2014-02-04","2014-02-04 11:43:00","Toscana","Tutte",""
"2014-02-17","2014-02-17","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL TRASPORTI","Intersettoriale","SCIOPERO REGIONALE TRASPORTI CAMPANIA","4 ORE","Regionale","2014-01-29","2014-01-29 10:49:00","Campania","Tutte",""
"2014-02-17","2014-02-17","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL TRASPORTI","Intersettoriale","SCIOPERO REGIONALE TRASPORTI CAMPANIA","4 ORE","Regionale","2014-01-29","2014-01-29 10:49:00","Campania","Tutte","ESCLUSA SOC. TRENITALIA"
"2014-02-20","2014-02-20","COORD. ORGANIZZAZIONI DI CATEGORIA TAXISTI E RADIOTAXI","Generale","FERMO SERVIZIO TAXI BACINO AEROPORTUALE REG. LOMBARDIA","14 ORE: DALLE 8.00 ALLE 22.00","Territoriale","2014-01-28","2014-02-18 15:50:00","Lombardia","Tutte",""
"2014-02-21","2014-02-21","CUB CONF. UNITARIA DI BASE","Aereo","SCIOPERO GENERALE LAVORATORI COMPARTO AEREO, AEROPORTUALE ED INDOTTO DEGLI AEROPORTI","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2014-02-06","2014-02-06 13:51:00"," Italia","Tutte","ADESIONI OO.SS. CUB TRASPORTI E FLAICA UNITI CUB"
"2014-02-21","2014-02-21","USB LAVORO PRIVATO TRASPORTI","Aereo","SCIOPERO GENERALE SETTORE TRASPORTO AEREO","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2014-01-22","2014-01-22 14:18:00"," Italia","Tutte",""
"2014-02-21","2014-02-21","ANPCAT","Aereo","PERSONALE SOC. ENAV","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2014-01-02","2014-01-02 15:34:00"," Italia","Tutte","ESCLUSIONE AREA CAAV DI PALERMO"
"2014-02-21","2014-02-21","LICTA","Aereo","PERSONALE SOC. ENAV","4 ORE: DALLE 13.00 ALLE 17.00","Nazionale","2013-12-24","2013-12-24 17:15:00"," Italia","Tutte"," ESCLUSIONE AREA CAAV DI PALERMO"
"2014-02-27","2014-02-28","OSR FAST-CONFSAL","Appalti ferroviari","PERSONALE APPALTI FERROVIARI SO.CO.FAT (COOP. FATTORINI) DI TORINO","INTERA PRESTAZIONE LAVORATIVA: DALLE 22.00 DEL 27/2 ALLE 22.00 DEL 28/2","Regionale","2014-02-07","2014-02-07 10:14:00","Piemonte","Tutte",""
"2014-02-27","2014-02-27","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA","Ferroviario","PERSONALE SOC. TRENITALIA DIV. CARGO DELLA REGIONE VENETO","8 ORE: DALLE 9.01 ALLE 17.00","Regionale","2014-01-29","2014-01-29 11:59:00","Veneto","Tutte",""
"2014-02-28","2014-02-28","OSR SUL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REGIONE TOSCANA","4 ORE: DALLE 17.00 ALLE 21.00","Regionale","2014-02-17","2014-02-17 10:42:00","Toscana","Tutte",""
"2014-02-28","2014-02-28","OSR COBAS LAVORO PRIVATO/USB LAVORO PRIVATO/ SLAI-COBAS","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REGIONE TOSCANA","24 ORE","Regionale","2014-01-27","2014-01-27 12:57:00","Toscana","Tutte",""
"2014-02-28","2014-02-28","OSR UILT-UIL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. TOSCANA","8 ORE CON MODALITA' TERRITORIALI","Regionale","2014-02-03","2014-02-03 15:05:00","Toscana","Tutte",""
"2014-02-28","2014-02-28","ORSA AUTOFERRO TPL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2014-02-03","2014-02-03 16:27:00"," Italia","Tutte",""
"2014-03-05","2014-03-05","ORSA AUTOFERRO TPL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2014-02-12","2014-02-12 19:06:00"," Italia","Tutte","ESCLUSIONE DELLE AZIENDE DI T.P.L. DEL BACINO REGIONALE TOSCANO"
"2014-03-07","2014-03-07","FIOM-CGIL","Aereo","PERSONALE SOC. TECHNO SKY","4 ORE: DALLE 12.30 ALLE 16.30","Nazionale","2014-02-13","2014-02-13 17:31:00"," Italia","Tutte",""
"2014-03-07","2014-03-07","CUB","Aereo","LAVORATORI COMPARTO AEREO, AEROPORTUALE ED INDOTTO DEGLI AEROPORTI","24 ORE: DALLE 00.01 ALLE 23.59","Nazionale","2014-02-25","2014-02-25 14:10:00"," Italia","Tutte","ADESIONE OO.SS. CUB TRASPORTI E FLAICA UNITI CUB"
"2014-03-07","2014-03-07","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST","Appalti ferroviari","PERSONALE APPALTI FS SOC. GESAFIN DI MILANO OPERANTE NELLA REGIONE MARCHE","4 ORE: DALLE 13.01 ALLE 16.59","Regionale","2014-02-24","2014-02-24 14:29:00","Marche","Tutte",""
"2014-03-07","2014-03-07","OSP ADL","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","24 ORE: DALLE 00.00 ALLE 23.59","Nazionale","2014-01-24","2014-01-24 17:15:00"," Italia","Tutte",""
"2014-03-07","2014-03-07","OSR USB LAVORO PRIVATO","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","24 ORE","Nazionale","2014-01-24","2014-01-24 09:58:00"," Italia","Tutte",""
"2014-03-07","2014-03-07","APM ASS. PILOTI MERIDIANA FLY","Aereo","PERSONALE NAVIGANTE SOC. MERIDIANA FLY","24 ORE","Nazionale","2014-02-21","2014-02-21 14:14:00"," Italia","Tutte",""
"2014-03-07","2014-03-07","AVIA","Aereo","PERSONALE NAVIGANTE DI CABINA SOC. EASYJET","24 ORE: DALLE 00.01 ALLE 24.00","Nazionale","2014-01-28","2014-01-28 14:02:00"," Italia","Tutte",""
"2014-03-07","2014-03-07","OSR CUB TRASPORTI","Aereo","PERSONALE SOCC. SEA  E SEA HANDLING DI MILANO LINATE E MALPENSA","24 ORE: DALLE 00.00 ALLE 23.59","Nazionale","2014-01-24","2014-01-24 10:00:00"," Italia","Tutte",""
"2014-03-10","2014-03-10","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/ORSA","Appalti ferroviari","PERSONALE AZIENDE ADDETTE APPALTI FERROVIARI DELLA REG. CAMPANIA","META' PRESTAZIONE LAVORATIVA","Regionale","2014-02-27","2014-02-27 16:45:00","Campania","Tutte",""
"2014-03-11","2014-03-11","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST","Ferroviario","PERSONALE SOC. TRENITALIA MANUTENZIONE ROTABILI DIVISIONE PASSEGGERI REGIONALE LIGURIA","INTERA PRESTAZIONE LAVORATIVA","Regionale","2014-02-26","2014-02-26 09:09:00","Liguria","Tutte",""
"2014-03-14","2014-03-14","USB LAVORO PRIVATO","Ferroviario","PERSONALE GRUPPO FSI E TRENORD","8 ORE: DALLE 9.01 ALLE 16.59","Nazionale","2014-03-04","2014-03-04 15:42:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","ORSA FERROVIE","Ferroviario","PERSONALE ADDETTO A CIRCOLAZIONE TRENI E MANUTENZIONE SOCC. TRENITALIA, RFI, NTV E TRENORD","8 ORE: DALLE 9.01 ALLE 16.59","Nazionale","2014-01-29","2014-01-29 20:00:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","COORD. REG. USB LAVORO PRIVATO","Ferroviario","PERSONALE MOBILE SOC. TRENITALIA IMPIANTI REGIONI PUGLIA E BASILICATA","8 ORE: DALLE 9.01 ALLE 16.59","Interregionale","2014-03-03","2014-03-04 17:07:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","OSR ORSA FERROVIE","Ferroviario","PERSONALE SOC. TRENORD","8 ORE: DALLE 9.01 ALLE 16.59","Regionale","2014-02-28","2014-02-28 17:12:00","Lombardia","Tutte",""
"2014-03-14","2014-03-14","ORSA FERROVIE","Ferroviario","PERSONALE ADDETTO A CIRCOLAZIONE TRENI DELLE IMPRESE FERROVIARIE ADIBITE AL SERVIZIO MERCI","8 ORE: DALLE 9.01 ALLE 16.59","Nazionale","2014-02-25","2014-02-26 11:49:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","OSR USB LAVORO PRIVATO","Ferroviario","PERSONALE MOBILE SOC. TRENITALIA DIV. PASSEGGERI, REGIONALE E CARGO EMILIA ROMAGNA E STABIL. OMC ETR BOLOGNA","8 ORE: DALLE 9.01 ALLE 16.59 - STABIL. INTERA GIORNATA","Regionale","2014-03-04","2014-03-04 11:20:00","Emilia-Romagna","Tutte",""
"2014-03-14","2014-03-14","CAT COORD. AUTORGANIZZATO TRASPORTI","Ferroviario","PERSONALE AZIENDE INTERO SETTORE FERROVIARIO","1 ORA: DALLE 15.59 ALLE 16.59","Nazionale","2014-02-17","2014-02-17 18:30:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","OSR ORSA FERROVIE","Ferroviario","PERSONALE MOBILE SOC. TRENITALIA REGIONE LAZIO","8 ORE: DALLE 9.01 ALLE 16.59","Regionale","2014-02-28","2014-02-28 13:00:00","Lazio","Tutte",""
"2014-03-14","2014-03-14","COORD.NAZ. RSU/RLS PERS. MOBILE","Ferroviario","PERSONALE FERROVIARIO DEL GRUPPO FSI, NTV E TRENORD","8 ORE: DALLE 9.01 ALLE 16.59","Nazionale","2014-03-03","2014-03-03 18:44:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","CAT COORD. AUTORGANIZZATO TRASPORTI","Ferroviario","PERSONALE AZIENDE INTERO SETTORE FERROVIARIO","4 ORE: DALLE 11.00 ALLE 15.00","Nazionale","2014-02-28","2014-02-28 13:12:00"," Italia","Tutte",""
"2014-03-14","2014-03-14","CUB TRASPORTI","Ferroviario","PERSONALE FERROVIARIO DEL GRUPPO FSI, NTV E TRENORD","8 ORE: DALLE 9.01 ALLE 16.59","Nazionale","2014-03-03","2014-03-03 17:20:00"," Italia","Tutte",""
"2014-03-19","2014-03-19","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL TRASPORTI","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. CAMPANIA","24 ORE","Regionale","2014-02-21","2014-02-21 14:16:00","Campania","Tutte",""
"2014-03-19","2014-03-19","OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL FNA","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE DELLA REG. LAZIO","4 ORE: DALLE 8.30 ALLE 12.30","Regionale","2014-02-19","2014-02-19 15:42:00","Lazio","Tutte",""
"2014-03-19","2014-03-19","OSR FILT-CGIL/FIT-CISL/UGL FNA/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE REG. TOSCANA","24 ORE CON MODALITA' TERRITORIALI","Regionale","2014-03-03","2014-03-03 20:20:00","Toscana","Tutte",""
"2014-03-19","2014-03-19","FILT-CGIL/FIT-CISL/UILT-UIL/UGL-FNA/FAISA-CISAL","Trasporto pubblico locale","PERSONALE ADDETTO AL TRASPORTO PUBBLICO LOCALE","24 ORE CON MODALITA' TERRITORIALI","Nazionale","2014-02-12","2014-02-12 11:30:00"," Italia","Tutte",""
"2014-03-20","2014-03-20","COORD. ORGANIZZAZIONI DI CATEGORIA TAXISTI E RADIOTAXI","Generale","FERMO SERVIZIO TAXI BACINO AEROPORTUALE REG. LOMBARDIA","14 ORE: DALLE 8.00 ALLE 22.00","Territoriale","2014-03-06","2014-03-06 14:50:00","Lombardia","Tutte",""
"2014-03-23","2014-03-23","FILT-CGIL/FIT-CISL/UGL","Aereo","PERSONALE DI TERRA E DI VOLO GRUPPO MERIDIANA","24 ORE","Nazionale","2014-03-07","2014-03-07 16:45:00"," Italia","Tutte","ADESIONE DELLA A.P. APM"
